,PredictedInterpretingTime
2023-02-01,145442.0
2023-02-02,142372.0
2023-02-03,138091.0
2023-02-04,47992.0
2023-02-05,38650.0
2023-02-06,172552.0
2023-02-07,159249.0
2023-02-08,146351.0
2023-02-09,142833.0
2023-02-10,138398.0
2023-02-11,48363.0
2023-02-12,40098.0
2023-02-13,173122.0
2023-02-14,159542.0
2023-02-15,146760.0
2023-02-16,143270.0
2023-02-17,138823.0
2023-02-18,48766.0
2023-02-19,40421.0
2023-02-20,96842.0
2023-02-21,159897.0
2023-02-22,147091.0
2023-02-23,143584.0
2023-02-24,139124.0
2023-02-25,49053.0
2023-02-26,40700.0
2023-02-27,173741.0
2023-02-28,160148.0
2023-03-01,147332.0
2023-03-02,143815.0
2023-03-03,139344.0
2023-03-04,49264.0
2023-03-05,40902.0
2023-03-06,173934.0
2023-03-07,160333.0
2023-03-08,147509.0
2023-03-09,143984.0
2023-03-10,139506.0
2023-03-11,49419.0
2023-03-12,41050.0
2023-03-13,174075.0
2023-03-14,160468.0
2023-03-15,147638.0
2023-03-16,144108.0
2023-03-17,139624.0
2023-03-18,49532.0
2023-03-19,41158.0
2023-03-20,174179.0
2023-03-21,160567.0
2023-03-22,147733.0
2023-03-23,144198.0
2023-03-24,139711.0
2023-03-25,49615.0
2023-03-26,41237.0
2023-03-27,174255.0
2023-03-28,160640.0
2023-03-29,147803.0
2023-03-30,144265.0
2023-03-31,139775.0
2023-04-01,49676.0
2023-04-02,41295.0
2023-04-03,174311.0
2023-04-04,160693.0
2023-04-05,147854.0
2023-04-06,144313.0
2023-04-07,139821.0
2023-04-08,49721.0
2023-04-09,41338.0
2023-04-10,174351.0
2023-04-11,160732.0
2023-04-12,147891.0
2023-04-13,144349.0
2023-04-14,139855.0
2023-04-15,49753.0
2023-04-16,41369.0
2023-04-17,174381.0
2023-04-18,160761.0
2023-04-19,147918.0
2023-04-20,144375.0
2023-04-21,139880.0
2023-04-22,49777.0
2023-04-23,41392.0
2023-04-24,174403.0
2023-04-25,160782.0
2023-04-26,147938.0
2023-04-27,144394.0
2023-04-28,139899.0
2023-04-29,49795.0
2023-04-30,41409.0
2023-05-01,174419.0
